"Relative Time (Process)","Nvdia A100 x2 - system/gpu.process.0.powerWatts","Nvdia A100 x2 - system/gpu.process.0.powerWatts__MIN","Nvdia A100 x2 - system/gpu.process.0.powerWatts__MAX","Nvdia A100x1 - system/gpu.process.0.powerWatts","Nvdia A100x1 - system/gpu.process.0.powerWatts__MIN","Nvdia A100x1 - system/gpu.process.0.powerWatts__MAX","Nvidia H100 x1 - system/gpu.process.0.powerWatts","Nvidia H100 x1 - system/gpu.process.0.powerWatts__MIN","Nvidia H100 x1 - system/gpu.process.0.powerWatts__MAX"
"3362.508354","","","","","","","495.3","495.3","495.3"
"3391.206822","327.17","327.17","327.17","","","","","",""
"3392.547094","","","","","","","510.41","510.41","510.41"
"3421.211521","324.67","324.67","324.67","","","","","",""
"3421.25266","","","","332.55","332.55","332.55","","",""
"3422.571727","","","","","","","487.07","487.07","487.07"
"3451.216327","319.32","319.32","319.32","","","","","",""
"3451.257252","","","","324.58","324.58","324.58","","",""
"3452.573176","","","","","","","583.9","583.9","583.9"
"3481.221076","307.2","307.2","307.2","","","","","",""
"3481.261873","","","","337.72","337.72","337.72","","",""
"3482.574705","","","","","","","535.92","535.92","535.92"
"3511.225939","315.18","315.18","315.18","","","","","",""
"3511.264113","","","","336.34","336.34","336.34","","",""
"3512.576765","","","","","","","514.24","514.24","514.24"
"3541.22915","241.95","241.95","241.95","","","","","",""
"3541.268528","","","","353.94","353.94","353.94","","",""
"3542.592746","","","","","","","516.13","516.13","516.13"
"3571.23388","60.93","60.93","60.93","","","","","",""
"3571.272412","","","","345.91","345.91","345.91","","",""
"3572.619212","","","","","","","518.06","518.06","518.06"
"3601.237053","263.64","263.64","263.64","","","","","",""
"3601.275597","","","","347.52","347.52","347.52","","",""
"3602.650614","","","","","","","542.66","542.66","542.66"
"3631.241942","323.65","323.65","323.65","","","","","",""
"3631.278613","","","","320.77","320.77","320.77","","",""
"3632.675056","","","","","","","556.01","556.01","556.01"
"3661.246671","322.52","322.52","322.52","","","","","",""
"3661.281688","","","","349.79","349.79","349.79","","",""
"3662.677818","","","","","","","562.53","562.53","562.53"
"3691.251393","353.87","353.87","353.87","","","","","",""
"3691.286279","","","","334.35","334.35","334.35","","",""
"3692.681486","","","","","","","566.85","566.85","566.85"
"3721.256302","301.75","301.75","301.75","","","","","",""
"3721.290895","","","","349.95","349.95","349.95","","",""
"3722.685805","","","","","","","555.1","555.1","555.1"
"3751.259489","299.62","299.62","299.62","","","","","",""
"3751.293942","","","","339.38","339.38","339.38","","",""
"3752.689751","","","","","","","533.77","533.77","533.77"
"3781.26324","335.01","335.01","335.01","","","","","",""
"3781.298455","","","","340.1","340.1","340.1","","",""
"3782.691225","","","","","","","505.08","505.08","505.08"
"3811.268289","316.3","316.3","316.3","","","","","",""
"3811.302927","","","","336.65","336.65","336.65","","",""
"3812.69546","","","","","","","499.6","499.6","499.6"
"3841.271735","309.58","309.58","309.58","","","","","",""
"3841.306381","","","","330.46","330.46","330.46","","",""
"3842.707216","","","","","","","546.92","546.92","546.92"
"3871.309158","","","","335.31","335.31","335.31","","",""
"3872.71029","","","","","","","594.2","594.2","594.2"
"3901.277153","323.98","323.98","323.98","","","","","",""
"3901.313659","","","","320.6","320.6","320.6","","",""
"3902.713645","","","","","","","502.3","502.3","502.3"
"3931.280007","336.9","336.9","336.9","","","","","",""
"3931.317011","","","","338.87","338.87","338.87","","",""
"3932.720372","","","","","","","517.25","517.25","517.25"
"3961.284966","284.14","284.14","284.14","","","","","",""
"3961.321476","","","","323.95","323.95","323.95","","",""
"3962.727644","","","","","","","509.72","509.72","509.72"
"3991.290037","323.71","323.71","323.71","","","","","",""
"3991.326036","","","","336.33","336.33","336.33","","",""
"3992.747269","","","","","","","518.56","518.56","518.56"
"4021.293376","286.08","286.08","286.08","","","","","",""
"4021.330572","","","","315.65","315.65","315.65","","",""
"4022.769976","","","","","","","492.25","492.25","492.25"
"4051.29806","329.55","329.55","329.55","","","","","",""
"4051.332927","","","","346.84","346.84","346.84","","",""
"4052.782437","","","","","","","515.67","515.67","515.67"
"4081.301246","309.66","309.66","309.66","","","","","",""
"4081.335594","","","","302.38","302.38","302.38","","",""
"4082.789282","","","","","","","528.7","528.7","528.7"
"4111.30606","352.72","352.72","352.72","","","","","",""
"4111.339934","","","","338.14","338.14","338.14","","",""
"4112.813121","","","","","","","566.27","566.27","566.27"
"4141.309206","300.21","300.21","300.21","","","","","",""
"4141.344433","","","","330.61","330.61","330.61","","",""
"4142.817889","","","","","","","537.66","537.66","537.66"
"4171.314216","304.98","304.98","304.98","","","","","",""
"4171.347574","","","","342.84","342.84","342.84","","",""
"4172.820119","","","","","","","497.9","497.9","497.9"
"4201.318935","306.99","306.99","306.99","","","","","",""
"4201.352409","","","","307.21","307.21","307.21","","",""
"4202.821022","","","","","","","523","523","523"
"4231.321294","310.2","310.2","310.2","","","","","",""
"4231.357101","","","","339.53","339.53","339.53","","",""
"4232.828662","","","","","","","589.49","589.49","589.49"
"4261.323758","273.71","273.71","273.71","","","","","",""
"4261.36158","","","","328.27","328.27","328.27","","",""
"4262.840243","","","","","","","529.57","529.57","529.57"
"4291.326964","312.03","312.03","312.03","","","","","",""
"4291.366054","","","","339.16","339.16","339.16","","",""
"4292.85832","","","","","","","534.88","534.88","534.88"
"4321.329577","357.6","357.6","357.6","","","","","",""
"4321.370678","","","","349.34","349.34","349.34","","",""
"4322.874996","","","","","","","498.86","498.86","498.86"
"4351.334418","318.13","318.13","318.13","","","","","",""
"4351.375226","","","","345.28","345.28","345.28","","",""
"4352.899551","","","","","","","515.83","515.83","515.83"
"4381.339169","317.13","317.13","317.13","","","","","",""
"4381.379814","","","","324.09","324.09","324.09","","",""
"4382.93134","","","","","","","498.27","498.27","498.27"
"4411.342237","326.52","326.52","326.52","","","","","",""
"4411.384235","","","","354.59","354.59","354.59","","",""
"4412.932404","","","","","","","528.28","528.28","528.28"
"4441.388631","","","","321.17","321.17","321.17","","",""
"4442.93813","","","","","","","582.74","582.74","582.74"
"4471.352805","272.85","272.85","272.85","","","","","",""
"4471.391664","","","","354.7","354.7","354.7","","",""
"4472.955566","","","","","","","531.33","531.33","531.33"
"4501.357692","314.09","314.09","314.09","","","","","",""
"4502.971213","","","","","","","502.76","502.76","502.76"
"4531.361922","325.14","325.14","325.14","","","","","",""
"4531.398359","","","","326.28","326.28","326.28","","",""
"4532.98446","","","","","","","524.19","524.19","524.19"
"4561.36446","300.64","300.64","300.64","","","","","",""
"4561.402911","","","","338.5","338.5","338.5","","",""
"4563.013575","","","","","","","516.93","516.93","516.93"
"4591.369468","320.63","320.63","320.63","","","","","",""
"4591.407396","","","","322.62","322.62","322.62","","",""
"4593.014796","","","","","","","555.35","555.35","555.35"
"4621.37334","303.39","303.39","303.39","","","","","",""
"4621.411833","","","","343.42","343.42","343.42","","",""
"4623.01578","","","","","","","558.06","558.06","558.06"
"4651.375847","311.43","311.43","311.43","","","","","",""
"4651.416326","","","","350.07","350.07","350.07","","",""
"4653.01786","","","","","","","565.22","565.22","565.22"
"4681.378591","286.6","286.6","286.6","","","","","",""
"4681.420786","","","","341.33","341.33","341.33","","",""
"4683.021621","","","","","","","547.33","547.33","547.33"
"4711.381078","282.85","282.85","282.85","","","","","",""
"4711.423054","","","","315.81","315.81","315.81","","",""
"4713.025453","","","","","","","533.89","533.89","533.89"
"4741.38607","304.13","304.13","304.13","","","","","",""
"4741.427626","","","","349.42","349.42","349.42","","",""
"4743.032927","","","","","","","494.43","494.43","494.43"
"4771.390847","303.32","303.32","303.32","","","","","",""
"4771.43067","","","","329.59","329.59","329.59","","",""
"4773.039907","","","","","","","504.96","504.96","504.96"
"4801.393199","338.26","338.26","338.26","","","","","",""
"4801.435163","","","","353.07","353.07","353.07","","",""
"4803.050187","","","","","","","510.76","510.76","510.76"
"4831.397845","371.18","371.18","371.18","","","","","",""
"4831.439654","","","","85.12","85.12","85.12","","",""
"4833.058961","","","","","","","587.61","587.61","587.61"
"4861.400515","301.36","301.36","301.36","","","","","",""
"4861.444377","","","","246.53","246.53","246.53","","",""
"4863.059675","","","","","","","525.19","525.19","525.19"
"4891.405187","328.2","328.2","328.2","","","","","",""
"4891.449152","","","","339.21","339.21","339.21","","",""
"4893.066573","","","","","","","513.64","513.64","513.64"
"4921.40961","308.54","308.54","308.54","","","","","",""
"4921.453752","","","","323.75","323.75","323.75","","",""
"4951.414424","289.7","289.7","289.7","","","","","",""
"4951.458274","","","","340.01","340.01","340.01","","",""
"4953.081036","","","","","","","501.44","501.44","501.44"
"4954.791889","","","","","","","408.47","408.47","408.47"
"4981.419468","295.35","295.35","295.35","","","","","",""
"4981.461344","","","","339.95","339.95","339.95","","",""
"5011.464264","","","","346.33","346.33","346.33","","",""
"5041.426526","341.73","341.73","341.73","","","","","",""
"5041.46728","","","","320.12","320.12","320.12","","",""
"5071.428995","324.87","324.87","324.87","","","","","",""
"5071.470249","","","","354.92","354.92","354.92","","",""
"5101.433693","299.75","299.75","299.75","","","","","",""
"5101.474963","","","","304.38","304.38","304.38","","",""
"5131.436381","307.6","307.6","307.6","","","","","",""
"5131.479554","","","","338.14","338.14","338.14","","",""
"5161.441024","293.41","293.41","293.41","","","","","",""
"5161.484182","","","","331.78","331.78","331.78","","",""
"5175.331366","247.02","247.02","247.02","","","","","",""
"5191.488572","","","","353.9","353.9","353.9","","",""
"5221.490915","","","","331.23","331.23","331.23","","",""
"5251.495293","","","","356.25","356.25","356.25","","",""
"5281.499653","","","","306.89","306.89","306.89","","",""
"5311.501982","","","","318.99","318.99","318.99","","",""
